,City Name,Current Temp,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind,Country,Date
0,barrow,19.4,71.2906,-156.7887,19.4,86,90,12.66,US,1619926543
1,nome,26.94,64.5011,-165.4064,28.4,69,40,13.8,US,1619926394
2,ales,44.8,44.1333,4.0833,46.99,87,0,6.91,FR,1619926544
3,georgetown,87.33,5.4112,100.3354,89.6,79,20,8.05,MY,1619926545
4,hermanus,57.0,-34.4187,19.2345,57.0,74,85,1.01,ZA,1619926518
5,havelock,53.29,34.8791,-76.9013,54.0,66,1,3.44,US,1619926546
6,saint-philippe,74.19,-21.3585,55.7679,75.2,64,0,9.22,RE,1619926546
7,bredasdorp,39.2,-34.5322,20.0403,39.2,93,5,4.61,ZA,1619926452
8,praia da vitoria,61.92,38.7333,-27.0667,62.6,88,75,7.63,PT,1619926546
9,hobart,69.46,-42.8794,147.3294,71.6,40,0,6.91,AU,1619926547
10,fecamp,37.45,49.7579,0.3746,41.0,87,20,1.14,FR,1619926547
11,tautira,86.0,-17.7333,-149.15,86.0,58,20,3.44,PF,1619926547
12,mataura,57.99,-46.1927,168.8643,57.99,84,74,7.0,NZ,1619926518
13,punta arenas,39.09,-53.15,-70.9167,39.2,87,40,5.75,CL,1619926338
14,port-cartier,34.23,50.0334,-66.8654,35.01,55,75,11.5,CA,1619926548
15,souillac,73.4,-20.5167,57.5167,73.4,94,40,2.3,MU,1619926549
16,busselton,66.27,-33.65,115.3333,66.99,67,50,2.95,AU,1619926549
17,hilo,70.36,19.7297,-155.09,75.2,83,90,5.75,US,1619926550
18,new norfolk,69.33,-42.7826,147.0587,70.0,39,100,1.01,AU,1619926516
19,avarua,80.6,-21.2078,-159.775,80.6,78,90,10.36,CK,1619926552
20,east london,57.2,-33.0153,27.9116,57.2,77,0,5.75,ZA,1619926552
21,samarina,30.2,57.8878,27.8054,30.2,93,0,6.17,RU,1619926552
22,deer lake,37.2,49.1667,-57.4316,37.4,87,90,11.5,CA,1619926553
23,cape town,55.49,-33.9258,18.4232,61.0,93,0,3.44,ZA,1619926259
24,vikyrovice,41.88,49.9779,17.0123,45.0,95,100,1.99,CZ,1619926554
25,springdale,65.59,36.1867,-94.1288,66.2,68,1,8.05,US,1619926548
26,puerto ayora,73.99,-0.7393,-90.3518,73.99,93,36,1.01,EC,1619926554
27,tuatapere,57.99,-46.1333,167.6833,57.99,84,26,7.0,NZ,1619926555
28,ushuaia,37.4,-54.8,-68.3,37.4,87,20,5.75,AR,1619926555
29,enid,65.64,36.3956,-97.8784,66.2,82,90,19.57,US,1619926491
30,salalah,84.2,17.0151,54.0924,84.2,79,75,2.3,OM,1619926555
31,vila franca do campo,60.8,37.7167,-25.4333,60.8,100,75,12.66,PT,1619926556
32,anadyr,17.26,64.75,177.4833,17.6,79,75,4.47,RU,1619926556
33,ponta do sol,52.25,32.6667,-17.1,57.0,67,100,1.01,PT,1619926557
34,shimoda,64.53,34.6667,138.95,68.0,55,20,20.71,JP,1619926557
35,sontra,44.01,51.0667,9.9333,44.01,70,100,4.72,DE,1619926558
36,hambantota,86.0,6.1241,81.1185,86.0,89,40,3.44,LK,1619926558
37,vaini,78.8,-21.2,-175.2,78.8,73,75,11.5,TO,1619926558
38,alofi,80.6,-19.0595,-169.9187,80.6,89,21,9.22,NU,1619926559
39,albany,46.29,42.6001,-73.9662,48.0,48,100,1.88,US,1619926559
40,haines junction,44.6,60.7522,-137.5108,44.6,45,93,9.22,CA,1619926559
41,urumqi,57.2,43.801,87.6005,57.2,44,0,6.71,CN,1619926503
42,socorro,75.81,31.6546,-106.3033,78.8,22,20,6.91,US,1619926561
43,kapaa,76.33,22.0752,-159.319,78.8,73,75,13.8,US,1619926561
44,mount gambier,66.2,-37.8333,140.7667,66.2,63,90,16.11,AU,1619926469
45,yellowknife,29.32,62.456,-114.3525,30.2,55,1,6.91,CA,1619926562
46,thompson,23.0,55.7435,-97.8558,23.0,93,90,5.75,CA,1619926563
47,carnarvon,73.4,-24.8667,113.6333,73.4,53,100,12.66,AU,1619926515
48,bethel,48.13,41.3712,-73.414,50.0,61,1,3.89,US,1619926564
49,kununurra,93.2,-15.7667,128.7333,93.2,33,0,9.22,AU,1619926564
50,anloga,82.4,5.7947,0.8973,82.4,89,20,6.91,GH,1619926565
51,hasaki,65.5,35.7333,140.8333,68.0,42,20,18.41,JP,1619926538
52,nikolskoye,35.33,59.7035,30.7861,37.0,86,0,2.24,RU,1619926566
53,norman wells,42.8,65.282,-126.8329,42.8,45,75,8.05,CA,1619926567
54,cabot,67.68,34.9745,-92.0165,68.0,77,90,5.95,US,1619926567
55,touros,75.2,-5.1989,-35.4608,75.2,94,40,4.61,BR,1619926568
56,sitka,46.4,57.0531,-135.33,46.4,71,40,5.75,US,1619926388
57,sengiley,46.4,53.9622,48.7944,46.4,100,46,8.95,RU,1619926568
58,goderich,59.0,43.7501,-81.7165,59.0,44,95,18.41,CA,1619926569
59,jamestown,56.07,42.097,-79.2353,57.0,38,20,18.41,US,1619926570
60,oussouye,70.68,12.485,-16.5469,71.6,94,0,4.61,SN,1619926570
61,vila velha,71.69,-20.3297,-40.2925,75.0,100,75,3.44,BR,1619926572
62,big rapids,62.06,43.6981,-85.4837,64.4,48,40,4.61,US,1619926573
63,bluff,57.99,-46.6,168.3333,57.99,84,97,7.0,NZ,1619926573
64,saint-pierre,75.11,-21.3393,55.4781,75.2,64,0,9.22,RE,1619926574
65,geraldton,71.6,-28.7667,114.6,71.6,30,0,17.27,AU,1619926574
66,swellendam,39.2,-34.0226,20.4417,39.2,93,12,4.61,ZA,1619926575
67,waipawa,59.81,-41.4122,175.5153,62.6,59,2,4.61,NZ,1619926576
68,longyearbyen,15.8,78.2186,15.6401,15.8,73,20,11.5,SJ,1619926576
69,lasa,41.94,46.6166,10.7002,46.0,87,75,6.91,IT,1619926577
70,mahebourg,73.4,-20.4081,57.7,73.4,94,40,2.3,MU,1619926577
71,victoria,81.19,22.2855,114.1577,87.01,58,20,5.75,HK,1619926326
72,ancud,47.05,-41.8697,-73.8203,50.0,76,0,9.22,CL,1619926578
73,port elizabeth,48.2,-33.918,25.5701,48.2,81,0,2.3,ZA,1619926578
74,pontal do parana,55.67,-25.6533,-48.5128,57.0,85,80,13.0,BR,1619926579
75,florence,56.8,43.7667,11.25,57.2,82,75,12.66,IT,1619926579
76,brownwood,62.6,31.7093,-98.9912,62.6,100,40,8.05,US,1619926580
77,pisco,66.69,-13.7,-76.2167,68.0,77,0,3.44,PE,1619926580
78,elizabeth city,51.94,36.2946,-76.2511,55.4,71,1,5.75,US,1619926581
79,mahina,86.0,-17.5065,-149.489,86.0,58,20,3.44,PF,1619926581
80,wabana,37.81,47.6332,-52.9481,39.0,93,90,20.71,CA,1619926582
81,gat,67.28,31.61,34.7642,70.0,52,0,4.61,IL,1619926489
82,mogadishu,80.6,2.0371,45.3438,80.6,69,40,3.44,SO,1619926583
83,oda,53.6,35.1833,132.5,53.6,76,75,16.11,JP,1619926584
84,mar del plata,54.97,-38.0023,-57.5575,59.0,87,92,11.68,AR,1619926585
85,forestville,51.4,38.8451,-76.875,55.0,43,1,9.22,US,1619926586
86,ulladulla,70.74,-35.35,150.4667,73.4,49,100,4.61,AU,1619926586
87,asau,55.99,46.4333,26.4,55.99,60,100,3.44,RO,1619926586
88,los llanos de aridane,59.94,28.6585,-17.9182,66.2,68,75,6.91,ES,1619926584
89,kattivakkam,91.18,13.2167,80.3167,91.4,58,40,3.44,IN,1619926588
90,mount isa,86.0,-20.7333,139.5,86.0,26,40,8.05,AU,1619926589
91,padang,86.0,-0.9492,100.3543,86.0,74,40,5.75,ID,1619926590
92,plouzane,38.01,48.3833,-4.6167,42.8,86,0,4.61,FR,1619926590
93,neiafu,82.4,-18.65,-173.9833,82.4,74,40,11.5,TO,1619926591
94,roma,45.07,43.2128,-75.4557,46.4,66,90,3.44,US,1619926591
95,talcahuano,55.4,-36.7167,-73.1167,55.4,100,90,9.22,CL,1619926515
96,saint-joseph,75.09,-21.3667,55.6167,75.2,64,0,9.22,RE,1619926593
97,fortuna,51.78,40.5982,-124.1573,53.01,87,90,10.36,US,1619926594
98,thomasville,50.07,35.8826,-80.082,51.8,71,1,4.88,US,1619926594
99,san patricio,70.68,28.017,-97.5169,73.4,94,1,5.75,US,1619926595
100,ilulissat,41.0,69.2167,-51.1,41.0,52,40,16.11,GL,1619926595
101,fukue,60.8,32.6881,128.8419,60.8,51,40,20.71,JP,1619926596
102,redlands,64.02,34.0556,-117.1825,68.0,49,40,13.8,US,1619926557
103,moose factory,19.4,51.2585,-80.6094,19.4,86,75,3.44,CA,1619926596
104,valleyview,41.0,55.0667,-117.2859,41.0,93,96,6.91,CA,1619926596
105,alice springs,84.2,-23.7,133.8833,84.2,20,16,8.05,AU,1619926547
106,san andres,80.6,12.5847,-81.7006,80.6,78,40,5.75,CO,1619926385
107,petropavlovsk-kamchatskiy,35.6,53.0452,158.6483,35.6,93,75,6.71,RU,1619926597
108,bemidji,60.46,47.4736,-94.8803,62.6,36,1,5.75,US,1619926599
109,kahului,72.34,20.8947,-156.47,78.8,69,40,21.85,US,1619926599
110,carros,48.0,43.7894,7.184,51.01,81,0,9.22,FR,1619926600
111,bajos de haina,77.0,18.4154,-70.0332,77.0,83,20,4.61,DO,1619926601
112,kaitangata,64.0,-46.2817,169.8464,64.0,50,40,7.94,NZ,1619926586
113,laguna,64.42,38.421,-121.4238,66.2,55,1,9.22,US,1619926602
114,vinhedo,62.8,-23.0297,-46.9753,63.0,82,0,8.05,BR,1619926603
115,maple creek,51.6,49.9168,-109.4848,53.6,47,94,17.27,CA,1619926604
116,seoul,61.99,37.5683,126.9778,64.4,51,0,8.05,KR,1619926364
117,avera,61.12,33.194,-82.5271,66.2,68,1,6.91,US,1619926524
118,kodiak,42.8,57.79,-152.4072,42.8,70,90,10.36,US,1619926605
119,husavik,32.0,66.0449,-17.3389,32.0,64,90,11.5,IS,1619926605
120,coihaique,42.8,-45.5752,-72.0662,42.8,93,90,4.61,CL,1619926606
121,port hedland,86.0,-20.3167,118.5667,86.0,70,5,8.05,AU,1619926607
